Country,Attribute,Year,VarName,Variable Name,VarType,Unit,Nominal or Real,Age Groups,Upper Age Group,Single- or Five-Year,Status,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90,Age91,Age92,Age93,Age94,Age95,Age96,Age97,Age98,Age99,Age100,Age101,Age102,Age103,Age104,Age105,Age106,Age107,Age108,Age109,Age110,Prepared At,Prepared By,Uploaded At,Uploaded By,Country attribute 1,Country attribute 2,Country attribute 3,Country attribute 4,Country attribute 5
United Kingdom,,2015,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2682.752,804.8257,764.5844,719.3129,670.688,935.6099,848.4204,767.9378,700.869,653.9208,652.2441,655.5976,682.4251,732.7267,798.1188,593.559,643.8605,692.4854,736.0801,771.2913,675.7182,690.8087,699.1923,700.869,697.5156,761.231,752.8474,742.787,732.7267,726.0198,757.8775,759.5542,767.9378,786.3818,813.2093,808.1791,850.0971,902.0754,960.7606,1026.153,947.3469,1012.739,1079.808,1151.907,1225.682,1252.51,1321.255,1386.648,1445.333,1495.634,1597.914,1634.802,1668.337,1706.901,1757.203,1955.056,2055.659,2181.413,2335.671,2510.05,2692.813,2883.959,3068.398,3234.393,3376.914,3913.465,4010.715,4081.137,4131.438,4166.649,5058.665,5095.553,5149.208,5231.367,5352.091,5876.904,6109.968,6396.688,6733.708,7116,6550.946,6944.002,7360.643,7802.282,8270.418,8766.643,9292.642,9850.2,10441.21,11067.68,11731.75,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2015,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,6.482077,24.01819,23.95562,26.62294,13.31443,7.059286,27.41966,10.59858,9.612813,19.81611,36.41314,19.94328,31.42295,26.44853,11.05223,126.8865,25.83433,19.47755,43.93735,129.4498,91.66346,105.784,60.30939,80.98126,145.7916,94.08624,78.95971,58.93801,157.5516,75.37791,376.0384,365.3476,296.0705,379.0662,200.7126,214.7057,222.3876,301.6889,353.0977,174.4618,390.8965,415.2088,209.5378,363.3047,236.5379,372.521,302.8991,636.2866,394.0473,719.8029,458.0004,380.0427,425.7432,539.874,415.4458,576.1017,532.168,304.5324,1018.526,389.2212,688.221,624.8104,533.5108,752.4603,370.2235,589.3982,752.9387,401.3797,743.7944,1280.069,653.159,1139.948,549.7374,438.452,282.9116,283.8264,714.5447,536.4263,719.6086,399.3799,423.3427,448.7432,475.6678,504.2078,534.4603,566.528,600.5196,636.5508,674.7438,715.2285,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2014,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2648.862,794.6587,754.9257,710.2262,662.2156,923.7907,837.7027,758.2368,692.0153,645.6602,644.0046,647.3157,673.8043,723.4705,788.0365,586.0608,635.7269,683.7375,726.7816,761.5479,667.1822,682.082,690.3597,692.0153,688.7042,751.6147,743.337,733.4037,723.4705,716.8483,748.3036,749.9591,758.2368,776.4478,802.9364,797.9698,839.3582,890.6799,948.6238,1013.19,935.3795,999.9455,1066.167,1137.355,1210.199,1236.688,1304.565,1369.131,1427.075,1476.741,1577.729,1614.15,1647.261,1685.339,1735.005,1930.358,2029.691,2153.856,2306.166,2478.342,2658.795,2847.527,3029.636,3193.535,3334.255,3864.028,3960.049,4029.582,4079.248,4114.014,4994.761,5031.183,5084.16,5165.281,5284.48,5802.664,6032.784,6315.881,6648.645,7026.107,6468.19,6856.282,7267.659,7703.719,8165.942,8655.897,9175.252,9725.768,10309.31,10927.87,11583.54,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2014,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.594,76.17854,191.7317,162.8834,151.4052,94.09487,162.1908,230.9613,209.0776,99.22953,314.2259,286.7825,264.484,206.9198,184.2388,217.0591,529.6816,441.1732,256.6831,308.8881,226.8411,200.4844,316.716,322.5682,349.4106,272.864,209.0469,352.8619,264.9442,389.4643,362.9029,409.8234,433.2529,432.5151,410.0385,342.1914,274.0392,462.6531,349.513,431.7001,667.6321,525.344,765.8169,402.1929,416.954,543.9236,734.8683,572.5739,1073.138,694.6003,479.2592,585.4283,499.739,2367.185,474.5471,364.8368,533.1069,896.4606,430.5703,556.8037,590.212,625.6247,663.1622,702.9519,745.129,789.8367,837.2269,887.4606,940.7082,997.1506,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2013,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2560.592,768.1774,729.7686,686.5586,640.1479,893.0063,809.787,732.9693,668.9545,624.1442,622.5438,625.7446,651.3505,699.3616,761.776,566.5309,614.542,660.9527,702.5623,736.17,644.949,659.3523,667.3542,668.9545,665.7538,726.5678,718.566,708.9637,699.3616,692.9601,723.3671,724.9675,732.9693,750.5734,776.1793,771.3782,811.3875,860.9989,917.0118,979.4263,904.2089,966.6233,1030.638,1099.454,1169.87,1195.476,1261.091,1323.506,1379.519,1427.53,1525.152,1560.36,1592.368,1629.176,1677.187,1866.031,1962.053,2082.081,2229.315,2395.753,2570.194,2752.636,2928.677,3087.113,3223.145,3735.263,3828.084,3895.3,3943.311,3976.919,4828.315,4863.523,4914.735,4993.153,5108.38,5609.296,5831.747,6105.41,6427.084,6791.969,6252.645,6627.803,7025.471,7447,7893.82,8367.448,8869.496,9401.666,9965.766,10563.71,11197.53,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2013,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,4.138373,5.312232,9.196628,3.24991,5.138708,11.70166,14.30439,7.002788,4.27556,5.928761,68.61891,19.73956,10.75917,16.21211,17.76585,29.19761,25.774,15.6081,14.26889,19.18764,66.04591,127.27,217.8856,253.1903,109.277,246.8693,135.4238,83.55258,257.1313,471.7244,130.3195,191.5904,121.6873,241.077,417.4667,387.4738,165.5893,219.4254,404.357,372.3519,280.0948,212.1139,481.572,419.9985,181.2321,343.2979,401.9774,340.3519,223.0226,441.8885,476.4958,417.6407,513.305,597.8781,506.1904,692.2703,556.1832,462.5395,496.7335,429.2574,280.1454,493.2328,431.2098,510.2393,555.9734,424.2,880.9954,446.721,434.1317,478.2976,752.7845,526.7468,387.096,703.4062,862.2501,327.8629,665.7715,850.5517,879.4168,318.582,337.6969,357.9587,379.4362,402.2024,426.3346,451.9146,479.0295,507.7713,538.2375,570.5317,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2012,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2524.567,757.3701,719.5015,676.8995,631.1417,880.4427,798.3943,722.6573,659.5431,615.3632,613.7853,616.941,642.1867,689.5223,751.0587,558.5604,605.8961,651.6538,692.678,725.813,635.8752,650.076,657.9652,659.5431,656.3874,716.3458,708.4565,698.9894,689.5223,683.2109,713.1901,714.768,722.6573,740.0137,765.2593,760.5258,799.9721,848.8856,904.1105,965.6468,891.4877,953.024,1016.138,1083.986,1153.411,1178.657,1243.349,1304.885,1360.11,1407.446,1503.695,1538.408,1569.965,1606.256,1653.591,1839.778,1934.449,2052.788,2197.951,2362.048,2534.034,2713.909,2887.473,3043.681,3177.799,3682.712,3774.228,3840.497,3887.833,3920.968,4760.386,4795.099,4845.59,4922.905,5036.511,5530.379,5749.701,6019.514,6336.663,6696.414,6164.677,6534.557,6926.631,7342.229,7782.762,8249.728,8744.712,9269.395,9825.559,10415.09,11040,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2012,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,21.16941,31.69618,17.82298,34.52045,22.12489,17.12694,21.08258,15.65286,13.00216,22.44605,70.02274,66.80495,74.83974,175.9409,56.01504,117.4593,93.55038,121.9747,111.0343,81.04697,161.2294,173.0597,134.9557,283.2985,325.1825,229.2751,686.3263,307.4359,146.821,528.3317,258.0596,343.2503,163.6984,162.8408,253.6877,320.9407,331.788,436.7803,543.9717,322.1977,466.0442,257.9308,281.0454,380.9952,213.0691,302.6277,362.5564,537.1403,176.8824,190.4276,411.3777,290.8324,294.0743,608.7966,206.0553,332.3285,372.1705,482.8418,313.0655,517.3019,728.0527,801.825,364.9315,1136.222,1381.003,357.4462,767.8583,1277.458,309.9938,554.6417,587.9202,623.1954,660.5871,700.2224,742.2357,786.7699,833.9761,884.0146,937.0555,993.2787,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2011,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,3297.134,517.7642,496.6674,477.4943,455.702,746.4443,706.4326,669.416,638.8597,621.6374,648.6957,634.4739,646.8135,668.9363,697.1373,640.9456,669.5062,701.9982,728.2173,792.7646,650.76,693.8516,735.769,820.2198,869.1552,741.1533,770.8389,843.0881,903.733,932.7139,897.0677,921.4057,887.9641,891.5772,904.1745,979.0298,950.1725,1021.608,1019.012,1049.933,1069.414,1122.612,1151.778,1177.58,1200.991,1468.77,1468.618,1456.935,1426.457,1398.597,1692.809,1661.616,1654.301,1666.14,1698.882,1918.287,2000.148,2102.794,2225.353,2363.954,2448.283,2586.488,2707.947,2828.243,2956.897,3296.139,3423.15,3599.131,3743.194,3890.985,4063.561,4284.125,4422.136,4608.908,4747.904,5283.592,5379.193,5634.698,5697.561,5641.369,5817.374,6166.417,6536.401,6928.585,7344.301,7784.959,8252.057,8747.18,9272.011,9828.332,10418.03,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2011,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,18.92583,10.70523,17.68137,8.159738,7.610246,10.56709,15.2971,11.03033,22.75357,12.3069,0,0,0,0,0,0,0,0,0,0,143.2382,141.3034,106.0458,114.4308,245.3523,106.4267,71.83529,206.7026,135.3459,120.3187,224.1694,208.662,151.786,159.6085,145.571,194.6496,205.3083,234.9815,129.3698,140.8728,389.4971,307.9357,315.0319,252.5396,318.1128,240.9405,242.6075,342.0443,355.2325,612.9909,257.3307,262.9534,461.6398,310.9894,405.9113,299.4012,249.5564,161.6573,351.9823,200.5233,678.4084,411.814,1128.142,509.7857,362.8331,465.9235,310.9573,487.3869,275.9597,697.5087,238.8254,480.2397,246.6257,467.7199,1320.74,478.7886,233.4755,525.9155,1726.524,655.8902,695.2437,736.9583,781.1757,828.0463,877.729,930.3928,986.2164,1045.389,1108.113,1174.599,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2010,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2680.548,595.7986,572.9844,551.7064,531.9945,733.1412,686.9583,653.5225,620.7851,601.3212,591.6395,598.1526,623.7587,656.5315,702.2042,604.9594,643.9489,688.845,727.5982,779.712,637.8286,680.5889,718.7517,793.9161,842.4963,713.4626,770.8253,825.9834,905.7719,904.9774,925.1576,922.4307,906.8964,859.9213,822.9705,1133.578,1040.033,992.1733,945.5742,936.3111,1092.561,1114.338,1133.937,1144.974,1214.964,1359.285,1392.138,1415.477,1489.738,1507.486,1514.022,1568.314,1629.85,1686.875,1749.429,1916.603,2007.199,2066.854,2129.482,2198.673,2493.9,2569.727,2629.184,2743.909,2840.087,3164.352,3323.202,3513.503,3691.412,3875.203,3999.691,4237.468,4409.224,4530.58,4726.476,5187.898,5294.776,5366.86,5600.969,5740.369,5869.949,6222.146,6595.475,6991.203,7410.675,7855.316,8326.635,8826.232,9355.807,9917.154,10512.18,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2010,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,72.75741,57.16883,102.0473,41.74542,33.18167,81.8711,21.68311,75.88388,22.83839,19.82174,124.8602,178.3198,76.06502,154.6559,73.09897,106.7577,117.5422,123.1622,115.1882,91.52192,70.8581,76.91797,136.2991,162.5538,53.74337,67.86111,143.2365,143.0536,138.3091,229.1554,104.0344,166.7662,128.1844,131.3994,172.259,161.9121,127.9538,135.5156,163.4532,160.9859,206.8544,260.5421,174.6368,258.551,422.3017,320.3579,295.5083,350.1896,588.63,461.403,399.4138,387.5997,389.8051,359.7585,317.7405,329.2155,343.3756,337.1651,299.1409,495.2534,494.7063,581.2358,349.3341,711.9645,414.3851,507.0814,469.5047,557.5993,331.2674,434.5282,505.2129,407.0059,378.0898,829.6098,354.0766,249.8951,249.2116,302.8359,540.9518,503.2969,533.4947,565.5044,599.4346,635.4007,673.5248,713.9362,756.7724,802.1788,850.3094,901.328,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2009,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,2397.173,646.4438,618.3541,589.0028,564.0574,746.6063,687.8633,645.0902,611.5391,578.3416,642.5308,616.6027,615.0857,619.748,630.6044,632.3064,652.3436,664.0883,692.9041,736.7889,641.1658,673.8243,722.0914,792.8566,873.0051,723.6738,777.9663,848.2213,887.1501,918.2919,861.3378,918.8232,899.45,876.2443,869.8169,977.7678,987.7334,952.1439,979.3622,996.6916,1020.473,1075.49,1106.999,1135.042,1200.261,1284.248,1337.167,1387.606,1430.208,1499.268,1503.252,1565.639,1613.04,1667.862,1739.472,1875.565,1950.364,2027.959,2107.386,2183.254,2483.993,2554.85,2617.935,2722.412,2806.808,3185.756,3314.044,3389.195,3614.852,3753.027,3857.563,4056.542,4272.956,4528.861,4755.153,4973.176,5188.965,5423.137,5526.914,5736.79,5660.125,5999.733,6359.717,6741.299,7145.777,7574.523,8028.995,8510.734,9021.378,9562.661,10136.42,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2009,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,55.44173,33.39057,25.68782,15.98945,52.51941,21.75433,49.20331,28.26109,82.48835,30.4643,15.70537,3.637777,4.669024,7.99577,6.73716,5.398766,7.729133,7.359331,8.508639,26.55119,135.506,106.0337,93.39678,72.08742,82.39305,63.32646,153.8746,99.38481,347.3675,111.6623,221.0024,266.8105,365.3309,216.8802,312.552,387.3757,365.6261,210.1573,438.6998,324.8101,307.7242,219.3049,299.2275,160.6455,308.9027,160.7928,214.6846,501.2971,164.7938,219.7644,315.937,462.1833,245.7197,275.6682,589.6387,297.9103,573.3387,374.7266,371.7035,438.4208,261.0962,374.1744,399.5659,410.2297,519.1462,289.9241,288.7679,249.2276,549.3816,885.2354,192.311,442.9233,476.1592,260.7903,331.1048,564.5225,330.3425,396.3689,924.4792,413.6295,438.4473,464.7541,492.6393,522.1978,553.5296,586.7414,621.9459,659.2626,698.8184,740.7475,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2008,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,1908.166,672.7435,637.4655,620.788,597.6097,645.028,620.8015,603.1757,593.4917,590.01,570.7697,565.08,568.3055,582.6118,609.2148,567.3062,598.8383,624.0637,664.0494,687.8383,662.3799,674.5858,683.1583,690.7473,720.7073,724.7381,747.1084,758.8547,793.321,827.9171,753.951,768.3745,822.5886,850.1944,868.7459,864.009,883.3001,911.7278,913.2772,948.1834,990.0104,996.654,1022.049,1043.041,1074.217,1186.757,1245.103,1293.107,1346.128,1408.575,1369.209,1439.975,1485.548,1547.888,1603.829,1799.488,1843.64,1881.877,1914.115,1954.803,2307.172,2367.082,2449.212,2549.031,2663.519,2866.354,3026.952,3220.896,3449.146,3654.973,3547.764,3715.479,3998.836,4222.452,4576.749,4568.45,4721.611,4961.563,5158.174,5339.617,5518.564,5849.678,6200.659,6572.698,6967.06,7385.083,7828.189,8297.88,8795.753,9323.498,9882.908,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2008,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364.9337,141.6165,165.3364,267.6936,179.4071,273.7599,172.1446,140.5763,209.2568,232.2149,106.8023,257.3508,123.9358,149.0508,302.1949,89.86119,188.4471,198.6279,405.0296,109.2126,244.3259,313.7009,319.442,240.5689,217.6159,344.0622,656.8768,385.3392,202.1697,262.4699,473.6314,257.6499,372.4781,326.2263,580.8527,587.595,888.1295,368.9828,584.378,286.5621,276.417,434.8561,363.4134,283.3492,216.7099,350.4855,188.9777,276.0315,231.9091,289.341,178.5842,297.734,293.4087,437.0966,289.0702,404.3987,472.799,384.3555,328.3611,368.1577,390.2472,413.662,438.4818,464.7906,492.6781,522.2388,553.5731,586.7875,621.9948,659.3144,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2007,CGH,"Public Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,1285.261,830.6138,767.8679,722.7226,666.5039,660.7093,619.1345,582.3729,547.3606,521.8796,528.5615,518.2592,526.4261,547.4335,574.3109,530.5839,556.6396,587.7319,612.7865,639.6437,593.4313,610.6974,641.4489,651.7789,676.9277,664.8357,711.02,719.412,730.8464,761.3285,742.7979,742.8794,752.1232,769.38,762.1971,824.9639,838.4871,844.6813,875.2586,902.0883,926.0445,939.8256,983.1155,1006.314,1014.575,1150.846,1178.5,1222.717,1234.842,1273.211,1320.831,1368.94,1422.303,1480.887,1538.141,1654.751,1720.943,1796.714,1878.365,1968.528,2103.216,2221.579,2349.468,2475.991,2627.661,2813.125,2953.89,3105.341,3272.832,3399.009,3467.552,3685.546,3834.026,4014.829,4067.632,4423.162,4578.881,4770.655,4801.535,5006.439,4955.37,5252.691,5567.853,5901.924,6256.04,6631.402,7029.287,7451.043,7898.106,8371.992,8874.313,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
United Kingdom,,2007,CFH,"Private Consumption, Health",Mean,Units,Nominal,91,90+,Single,Public,0,100.7661,69.07343,66.51637,74.3937,76.56793,37.97713,40.98311,58.14224,24.06418,248.3041,10.8894,48.17102,8.51304,12.60223,7.567293,9.339703,10.86507,38.45608,9.911992,22.36974,66.9757,71.60163,58.44865,57.86012,188.6756,154.3564,284.2026,138.0906,136.1659,125.5197,119.2317,156.4596,129.2174,225.116,99.0016,194.2485,100.9019,265.6225,207.3476,91.28356,215.6663,592.6396,231.2933,558.7493,282.2258,268.4861,244.7287,229.5159,352.7598,290.2759,543.2768,442.2949,619.9318,352.9962,373.2504,590.9604,463.8907,653.7293,497.3942,351.6864,349.6363,386.9016,476.5181,482.5308,289.577,268.1721,279.6053,470.152,407.8665,150.4795,342.7682,361.0303,278.4142,913.81,190.3719,197.4815,357.0587,369.2051,515.4122,339.183,359.5339,381.106,403.9724,428.2107,453.9033,481.1375,510.0057,540.6061,573.0424,607.425,,,,,,,,,,,,,,,,,,,,,2021/12/07 00:00:00 UTC,McCarthy,2021/12/09 16:45:40 UTC,mccarthy,"Northern Europe	",High income,OECD,GB,GBR
